date,1. open,2. high,3. low,4. close,5. volume,Stock
1/27/2021 20:00,14.75,14.8,14.6,14.61,233126,AMC
1/27/2021 19:59,14.81,14.88,14.69,14.71,196957,AMC
1/27/2021 19:58,14.53,14.91,14.51,14.86,260682,AMC
1/27/2021 19:57,14.86,14.91,14.51,14.55,240657,AMC
1/27/2021 19:56,14.89,14.94,14.8,14.8,198363,AMC
1/27/2021 19:55,14.95,15.1,14.8,14.89,332355,AMC
1/27/2021 19:54,14.99,15,14.6,14.9,389315,AMC
1/27/2021 19:53,14.67,15.1,14.67,14.99,543990,AMC
1/27/2021 19:52,14.6,14.8,14.48,14.66,250859,AMC
1/27/2021 19:51,14.53,14.6,14.41,14.51,270522,AMC
1/27/2021 19:50,14.48,14.75,14.4,14.53,373973,AMC
1/27/2021 19:49,14.46,14.6,14.1,14.48,467953,AMC
1/27/2021 19:48,14.35,14.75,14.31,14.49,529308,AMC
1/27/2021 19:47,14,14.48,13.9,14.36,415323,AMC
1/27/2021 19:46,13.8,14,13.75,13.99,302150,AMC
1/27/2021 19:45,13.43,13.88,13.42,13.8,330615,AMC
1/27/2021 19:44,13.14,13.5,13.04,13.5,300681,AMC
1/27/2021 19:43,13.26,13.38,13,13.12,242498,AMC
1/27/2021 19:42,13.15,13.26,13,13.23,238251,AMC
1/27/2021 19:41,13.11,13.3,13.08,13.16,198615,AMC
1/27/2021 19:40,13.08,13.2,12.75,13.19,196260,AMC
1/27/2021 19:39,13.25,13.39,12.89,13.01,227667,AMC
1/27/2021 19:38,13.1,13.39,13.09,13.25,257676,AMC
1/27/2021 19:37,12.88,13.19,12.79,13.19,240420,AMC
1/27/2021 19:36,12.63,12.9,12.6,12.86,151660,AMC
1/27/2021 19:35,12.93,13,12.52,12.63,262090,AMC
1/27/2021 19:34,12.5,12.97,12.47,12.92,273006,AMC
1/27/2021 19:33,12.24,12.5,12.2,12.5,162185,AMC
1/27/2021 19:32,12.15,12.35,12.01,12.25,215717,AMC
1/27/2021 19:31,12.5,12.59,12.1,12.12,176096,AMC
1/27/2021 19:30,12.3,12.55,12.25,12.53,196561,AMC
1/27/2021 19:29,12.23,12.3,12.11,12.29,147457,AMC
1/27/2021 19:28,12.15,12.25,12.05,12.23,169827,AMC
1/27/2021 19:27,12.29,12.3,12.05,12.11,155189,AMC
1/27/2021 19:26,11.8,12.5,11.75,12.3,423509,AMC
1/27/2021 19:25,12.15,12.2,11.51,11.8,259193,AMC
1/27/2021 19:24,11.76,12.2,11.75,12.05,306696,AMC
1/27/2021 19:23,11.51,19.9,11.4,11.76,292457,AMC
1/27/2021 19:22,11.92,12,11.3,11.58,423039,AMC
1/27/2021 19:21,11.81,12.13,11.76,11.92,366766,AMC
1/27/2021 19:20,11.54,11.78,11.25,11.76,451939,AMC
1/27/2021 19:19,11.85,11.95,11.47,11.55,581216,AMC
1/27/2021 19:18,12.35,12.35,11.8,11.81,532932,AMC
1/27/2021 19:17,12.36,12.5,12.2,12.4,260589,AMC
1/27/2021 19:16,12.66,12.7,12.25,12.32,350790,AMC
1/27/2021 19:15,13.15,13.25,12.6,12.66,410111,AMC
1/27/2021 19:14,13.15,13.25,13.1,13.11,180894,AMC
1/27/2021 19:13,13.04,13.3,12.75,13.17,218864,AMC
1/27/2021 19:12,13.32,13.35,12.96,13.04,249461,AMC
1/27/2021 19:11,12.9,13.6,12.83,13.32,232059,AMC
1/27/2021 19:10,13.66,13.8,12.78,12.9,448596,AMC
1/27/2021 19:09,13.28,13.9,13.17,13.66,380849,AMC
1/27/2021 19:08,13.33,13.4,12.92,13.22,261829,AMC
1/27/2021 19:07,12.73,13.43,12.73,13.37,272116,AMC
1/27/2021 19:06,12.86,13.44,12.51,12.7,456631,AMC
1/27/2021 19:05,12.7,12.96,12.38,12.86,456844,AMC
1/27/2021 19:04,11.49,12.66,11.3,12.66,518060,AMC
1/27/2021 19:03,11.22,11.8,11,11.5,878419,AMC
1/27/2021 19:02,11.6,11.71,11.05,11.28,505910,AMC
1/27/2021 19:01,12.48,12.5,11.4,11.6,428931,AMC
1/27/2021 19:00,12.8,13.01,12.4,12.4,625158,AMC
1/27/2021 18:59,11.01,12.8,11,12.8,983557,AMC
1/27/2021 18:58,12.5,12.5,11,11,1041390,AMC
1/27/2021 18:57,13.3,13.48,12.25,12.43,751863,AMC
1/27/2021 18:56,14.09,14.3,13.3,13.3,710325,AMC
1/27/2021 18:55,14.72,14.9,14.09,14.11,336639,AMC
1/27/2021 18:54,14.51,15,14.44,14.75,246535,AMC
1/27/2021 18:53,15.61,15.62,14.5,14.51,445007,AMC
1/27/2021 18:52,15.75,16.3,15.6,15.69,256178,AMC
1/27/2021 18:51,15.39,15.84,15.16,15.75,145967,AMC
1/27/2021 18:50,15.18,15.5,14.9,15.42,402173,AMC
1/27/2021 18:49,15.59,15.62,15.2,15.23,148076,AMC
1/27/2021 18:48,15.88,15.88,15.25,15.56,148295,AMC
1/27/2021 18:47,15.58,16,15.57,15.89,130384,AMC
1/27/2021 18:46,15.85,15.91,15.56,15.56,154467,AMC
1/27/2021 18:45,16.15,16.15,15.8,15.85,136736,AMC
1/27/2021 18:44,16.24,16.24,16,16.2,150949,AMC
1/27/2021 18:43,16.45,16.5,16.24,16.24,78107,AMC
1/27/2021 18:42,16.58,16.61,16.4,16.4,93771,AMC
1/27/2021 18:41,16.41,16.7,16.4,16.6,91760,AMC
1/27/2021 18:40,16.76,16.84,16.35,16.4,194725,AMC
1/27/2021 18:39,16.63,16.77,16.57,16.77,120827,AMC
1/27/2021 18:38,16.48,16.63,16.4,16.58,162538,AMC
1/27/2021 18:37,16.44,16.5,16.4,16.48,109723,AMC
1/27/2021 18:36,16.29,16.44,16.29,16.43,84052,AMC
1/27/2021 18:35,16.29,16.33,16.19,16.32,85824,AMC
1/27/2021 18:34,16.1,16.3,16.05,16.3,96290,AMC
